map,solver,k,w,h,seed,status,runtime,throughput,avg_collisions,wall_time
sorting,PBS,80,20,5,1,success,0.04196665,80,8.075,16.808398246765137
sorting,PBS,80,20,5,2,success,0.042142,80,8.3,16.864484071731567
sorting,PBS,80,20,5,3,success,0.03926305,80,7.1875,16.684828758239746
sorting,PBS,80,20,8,1,success,0.046983660000000003,50,9.7,15.656338930130005
sorting,PBS,80,20,8,2,success,0.04682974000000001,50,9.98,15.598684072494507
sorting,PBS,80,20,8,3,success,0.04671594,50,9.58,16.280571937561035
sorting,PBS,80,40,3,1,success,0.04166555970149254,134,8.171641791044776,19.683272123336792
sorting,PBS,80,40,3,2,success,0.04104932089552239,134,8.0,19.694430828094482
sorting,PBS,80,40,3,3,success,0.0387285447761194,134,7.402985074626866,19.691675186157227
sorting,PBS,80,40,5,1,success,0.045981725,80,8.825,17.234276294708252
sorting,PBS,80,40,5,2,success,0.046329675,80,9.3625,17.398427963256836
sorting,PBS,80,40,5,3,success,0.0438952625,80,8.1125,16.993762731552124
sorting,PBS,80,40,8,1,success,0.052131360000000015,50,11.04,16.021427392959595
sorting,PBS,80,40,8,2,success,0.05584808000000001,50,12.52,16.067913055419922
sorting,PBS,80,40,8,3,success,0.05008218,50,10.36,15.726327896118164
sorting,PBS,80,60,3,1,success,0.0423840895522388,134,8.216417910447761,19.718425989151
sorting,PBS,80,60,3,2,success,0.041793194029850746,134,8.246268656716419,19.637333869934082
sorting,PBS,80,60,3,3,success,0.03905810447761193,134,7.447761194029851,19.225934982299805
sorting,PBS,80,60,5,1,success,0.04527175,80,8.5125,17.157253980636597
sorting,PBS,80,60,5,2,success,0.047734187500000004,80,9.4,17.49499487876892
sorting,PBS,80,60,5,3,success,0.0446339375,80,8.1625,17.122610807418823
sorting,PBS,80,60,8,1,success,0.054374979999999996,50,11.26,16.12541103363037
sorting,PBS,80,60,8,2,success,0.058169120000000005,50,12.26,16.253910064697266
sorting,PBS,80,60,8,3,success,0.053067340000000005,50,10.9,16.147096157073975
sorting,ECBS,80,20,3,1,success,0.13796664925373134,134,0.3283582089552239,31.66686177253723
sorting,ECBS,80,20,3,2,success,0.1371105671641791,134,0.3805970149253731,31.710796117782593
sorting,ECBS,80,20,3,3,success,0.13717667910447762,134,0.2835820895522388,31.619758129119873
sorting,ECBS,80,20,5,1,success,0.1417502875,80,0.275,24.50998878479004
sorting,ECBS,80,20,5,2,success,0.14060721250000002,80,0.325,24.381007194519043
sorting,ECBS,80,20,5,3,success,0.14212511249999998,80,0.3875,24.387477159500122
sorting,ECBS,80,20,8,1,success,0.14475992,50,0.52,20.19887065887451
sorting,ECBS,80,20,8,2,success,0.14505504,50,0.48,20.340693950653076
sorting,ECBS,80,20,8,3,success,0.14462414,50,0.56,20.277863025665283
sorting,ECBS,80,40,3,1,success,0.251236604477612,134,0.05223880597014925,46.86094808578491
sorting,ECBS,80,40,3,2,success,0.2500202611940298,134,0.022388059701492536,46.775463819503784
sorting,ECBS,80,40,3,3,success,0.251303671641791,134,0.08208955223880597,46.87255597114563
sorting,ECBS,80,40,5,1,success,0.2574234875,80,0.05,33.71711015701294
sorting,ECBS,80,40,5,2,success,0.2548019875,80,0.0625,33.53306698799133
sorting,ECBS,80,40,5,3,success,0.25978120000000005,80,0.175,33.83687710762024
sorting,ECBS,80,40,8,1,success,0.26572303999999997,50,0.06,26.313108921051025
sorting,ECBS,80,40,8,2,success,0.26748649999999996,50,0.08,26.37984800338745
sorting,ECBS,80,40,8,3,success,0.26139660000000003,50,0.08,26.2063946723938
sorting,ECBS,80,60,3,1,success,0.36641355970149253,134,0.007462686567164179,62.32818293571472
sorting,ECBS,80,60,3,2,success,0.37914621641791046,134,0.0,64.12879991531372
sorting,ECBS,80,60,3,3,success,0.3742549253731343,134,0.05223880597014925,63.41267514228821
sorting,ECBS,80,60,5,1,success,0.3740467625,80,0.0,42.964560985565186
sorting,ECBS,80,60,5,2,success,0.393881025,80,0.025,44.49540996551514
sorting,ECBS,80,60,5,3,success,0.3921466,80,0.0125,44.43171691894531
sorting,ECBS,80,60,8,1,success,0.41236727999999995,50,0.0,33.734607219696045
sorting,ECBS,80,60,8,2,success,0.4241682800000001,50,0.02,34.26149296760559
sorting,ECBS,80,60,8,3,success,0.37983852,50,0.0,32.03027272224426
sorting,WHCA,80,20,3,1,success,0.09100214179104477,134,0.0,25.10555410385132
sorting,WHCA,80,20,3,2,success,0.09242071641791044,134,0.0,25.337955951690674
sorting,WHCA,80,20,3,3,success,0.09117139552238807,134,0.0,25.192187309265137
sorting,WHCA,80,20,5,1,success,0.09754979999999999,80,0.0,20.625630140304565
sorting,WHCA,80,20,5,2,success,0.09709952499999999,80,0.0,20.628286838531494
sorting,WHCA,80,20,5,3,success,0.098191675,80,0.0,20.73753309249878
sorting,WHCA,80,20,8,1,success,0.10503404,50,0.0,18.1549129486084
sorting,WHCA,80,20,8,2,success,0.10343206,50,0.0,18.037306308746338
sorting,WHCA,80,20,8,3,success,0.10364269999999999,50,0.0,18.011400938034058
sorting,WHCA,80,40,3,1,success,0.11915595522388059,134,0.0,28.92655086517334
sorting,WHCA,80,40,3,2,success,0.12035808208955225,134,0.0,29.183321714401245
sorting,WHCA,80,40,3,3,success,0.11832969402985076,134,0.0,28.756711959838867
sorting,WHCA,80,40,5,1,success,0.12725386249999998,80,0.0,22.960835933685303
sorting,WHCA,80,40,5,2,success,0.12830702500000002,80,0.0,23.22425889968872
sorting,WHCA,80,40,5,3,success,0.1288462,80,0.0,23.283607959747314
sorting,WHCA,80,40,8,1,success,0.14034122,50,0.0,19.829157829284668
sorting,WHCA,80,40,8,2,success,0.13993634,50,0.0,19.867205142974854
sorting,WHCA,80,40,8,3,success,0.14145294,50,0.0,19.996420860290527
sorting,WHCA,80,60,3,1,success,0.13108726119402986,134,0.0,31.168862104415894
sorting,WHCA,80,60,3,2,success,0.13058514925373135,134,0.0,30.425724983215332
sorting,WHCA,80,60,3,3,success,0.12842760447761195,134,0.0,30.19643497467041
sorting,WHCA,80,60,5,1,success,0.13989728750000002,80,0.0,24.11101222038269
sorting,WHCA,80,60,5,2,success,0.140575075,80,0.0,24.11065101623535
sorting,WHCA,80,60,5,3,success,0.1385065125,80,0.0,24.074238061904907
sorting,WHCA,80,60,8,1,success,0.16086237999999997,50,0.0,21.25583505630493
sorting,WHCA,80,60,8,2,success,0.16038202,50,0.0,21.365543127059937
sorting,WHCA,80,60,8,3,success,0.1530216,50,0.0,20.947138786315918
